asn,label
AS8359,isp
AS28573,isp
AS4771,isp
AS37457,isp
AS3215,isp
AS3320,isp
AS3352,isp
AS3301,isp
AS24389,isp
AS3269,isp
AS8447,isp
AS9506,isp
AS9121,isp
AS4788,isp
AS17552,isp
AS5432,isp
AS6147,isp
AS29465,isp
AS45899,isp
AS131284,isp
AS22047,isp
AS6866,isp
AS42003,isp
AS35805,isp
AS27884,isp
AS58460,isp
AS6821,isp
AS15975,isp
AS23201,isp
AS29614,isp
AS36947,isp
AS2860,isp
AS37287,isp
AS37461,isp
AS7642,isp
AS37009,isp
AS9198,isp
AS10396,isp
AS14988,isp
AS37371,isp
AS37463,isp
AS8301,isp
AS33771,isp
AS8926,isp
AS27882,isp
AS8681,isp
AS5391,isp
AS8193,isp
AS28787,isp
AS30873,isp
AS27665,isp
AS10094,isp
AS9146,isp
AS27781,isp
AS8585,isp
AS37094,isp
AS21003,isp
AS36958,isp
AS37054,isp
AS25250,isp
AS8818,isp
AS38800,isp
AS9249,isp
AS37337,isp
AS14434,isp
AS46408,isp
AS202865,isp
AS3605,isp
AS327769,isp
AS46650,isp
AS11816,isp
AS19863,isp
AS16058,isp
AS23917,isp
AS14813,isp
AS37705,isp
AS15389,isp
AS38077,isp
AS10130,isp
AS24691,isp
AS22933,isp
AS19711,isp
AS29256,isp
AS328191,isp
AS37594,isp
AS27775,isp
AS15433,isp
AS24757,isp
AS8551,isp
AS36998,isp
AS45891,isp
AS17458,isp
AS25543,isp
AS6400,isp
AS37002,isp
AS42298,isp
AS17893,isp
AS11139,isp
AS3695,isp
AS6752,isp
AS9471,isp
AS25429,isp
AS28885,isp
AS30990,isp
AS55723,isp
AS27745,isp
AS15146,isp
AS17660,isp
AS45168,isp
AS12764,isp
AS10269,isp
AS38623,isp
AS29544,isp
AS134783,isp
AS37460,isp
AS36939,isp
AS30985,isp
AS29571,isp
AS10131,isp
AS24439,isp
AS6639,isp
AS33392,isp
AS131279,isp
AS30992,isp
AS6758,isp
AS36903,isp
AS33567,isp
AS37517,isp
AS20634,isp
AS15344,isp
AS9873,isp
